date,USD,EUR,JPY,CNY,GBP,CAD,CHF,HKD,SEK,AUD,AED,BHD,CZK,DKK,HUF,IDR,KWD,MXN,NOK,NZD,PLN,RUB,SAR,SGD,THB,TRY,ZAR
2010-09-13,1160.0,1486.77,1377.67,171.62,1794.87,1124.79,1143.08,149.35,161.74,1082.63,315.86,3076.92,60.12,199.56,5.23,12.9,4014.54,90.14,189.15,850.05,377.11,37.55,309.26,867.03,37.74,776.73,162.07
2010-09-14,1162.0,1499.44,1391.62,172.27,1793.2,1131.34,1161.54,149.6,162.62,1084.38,316.37,3082.64,60.63,201.31,5.26,12.98,4041.46,90.26,190.13,846.4,378.84,37.89,309.89,869.57,37.78,774.6,162.78
2010-09-15,1163.0,1509.11,1361.19,172.56,1803.35,1128.58,1159.29,149.73,163.5,1088.92,316.63,3084.88,61.24,202.59,5.36,12.96,4050.29,90.54,191.14,849.92,383.68,37.93,310.11,869.66,37.69,778.13,164.02
2010-09-16,1163.0,1520.16,1359.44,172.88,1813.23,1134.63,1163.58,149.73,165.23,1090.66,316.67,3084.72,61.73,204.09,5.38,12.94,4051.56,90.89,191.73,844.45,385.84,37.53,310.11,870.25,37.61,780.69,163.69
2010-09-17,1159.5,1526.25,1351.08,172.43,1822.97,1134.43,1142.93,149.33,165.28,1097.93,315.67,3075.52,61.78,204.85,5.39,12.92,4053.2,90.86,191.37,849.45,385.64,37.31,309.17,869.84,37.71,776.26,162.79
2010-09-20,1162.0,1523.38,1357.79,173.2,1818.07,1128.7,1156.56,149.67,165.32,1100.65,316.35,3082.15,61.75,204.52,5.41,12.93,4048.64,90.9,191.4,849.31,385.46,37.51,309.85,871.85,37.8,776.59,162.97
2010-09-24,1155.0,1547.24,1363.64,172.3,1812.89,1120.71,1176.53,148.83,168.18,1103.14,314.44,3063.5,62.79,207.67,5.52,12.9,4037.47,91.32,195.06,845.34,388.92,37.25,307.99,871.51,37.52,776.6,163.29
2010-09-27,1149.0,1544.26,1363.96,171.74,1815.42,1120.1,1166.14,148.11,168.88,1101.43,312.87,3047.66,62.81,207.74,5.56,12.84,4032.29,91.66,195.94,842.22,390.1,37.46,306.34,869.14,37.58,777.67,164.1
2010-09-28,1149.5,1541.36,1363.58,171.8,1819.54,1112.46,1166.89,148.15,166.77,1102.95,312.96,3048.91,62.61,206.83,5.55,12.85,4032.34,91.56,193.33,842.24,387.98,37.62,306.59,869.71,37.61,778.57,163.75
2010-09-29,1142.0,1553.35,1364.4,170.8,1808.7,1111.33,1170.8,147.21,169.86,1108.77,312.31,3029.18,63.13,208.73,5.62,12.77,4009.69,91.47,195.92,844.62,391.61,37.58,304.54,867.45,37.48,781.66,164.32
2010-09-30,1138.0,1551.55,1364.51,170.07,1807.49,1104.43,1166.22,146.63,169.39,1103.18,309.82,3018.57,62.99,208.14,5.58,12.74,4001.41,90.82,193.91,840.64,388.84,37.41,303.45,866.26,37.4,783.85,163.43
2010-10-01,1128.0,1544.91,1353.49,169.3,1783.14,1095.68,1151.14,145.36,168.57,1093.93,307.08,2991.96,63.22,207.73,5.59,12.65,3961.23,89.92,192.91,834.04,391.24,37.02,300.82,858.12,37.34,778.81,161.88
2010-10-04,1127.5,1543.32,1352.73,168.51,1780.77,1103.23,1155.11,145.31,167.11,1090.07,307.01,2990.72,63.07,208.03,5.63,12.65,3976.37,90.06,192.0,836.83,390.06,37.01,300.63,857.87,37.38,778.19,162.32
2010-10-05,1129.0,1556.89,1355.02,168.72,1796.69,1106.65,1168.37,145.54,168.32,1085.87,307.38,2995.09,63.3,208.83,5.69,12.66,3981.66,89.47,193.35,839.98,391.2,37.03,301.08,859.73,37.39,779.54,161.26
2010-10-06,1119.0,1549.93,1346.57,167.39,1779.32,1103.66,1158.03,144.29,168.22,1090.69,304.66,2968.01,63.21,208.09,5.73,12.54,3946.95,89.71,193.53,839.92,393.46,37.42,298.37,854.39,37.36,786.12,162.85
2010-10-07,1116.0,1558.83,1352.56,166.98,1776.45,1104.29,1163.95,143.88,167.2,1103.39,303.83,2960.21,63.97,209.1,5.75,12.51,3947.93,89.57,193.28,844.7,394.5,37.73,297.59,854.91,37.38,789.47,163.01
2010-10-08,1124.0,1563.03,1364.57,168.43,1782.44,1105.76,1161.64,144.89,168.15,1096.91,306.03,2981.35,63.84,209.64,5.68,12.58,3970.75,89.24,193.09,840.08,391.7,37.5,299.69,857.75,37.47,787.04,162.9
2010-10-11,1120.0,1562.51,1362.53,168.03,1786.74,1108.47,1164.36,144.35,168.64,1103.65,305.04,2970.98,63.71,209.52,5.69,12.56,3964.88,90.19,192.49,844.03,393.01,37.55,298.61,857.84,37.27,794.25,163.61
